gamePk,team_name,norm_x,period_1_side
2015020001,Montréal Canadiens,52.0,left
2015020001,Toronto Maple Leafs,-60.5,right
2015020002,Chicago Blackhawks,-69.0,right
2015020002,New York Rangers,74.0,left
2015020003,Calgary Flames,-70.5,right
2015020003,Vancouver Canucks,66.0,left
2015020004,Los Angeles Kings,-61.0,right
2015020004,San Jose Sharks,62.0,left
2015020005,Boston Bruins,64.0,left
2015020005,Winnipeg Jets,-64.0,right
2015020006,Buffalo Sabres,71.0,left
2015020006,Ottawa Senators,-46.0,right
2015020007,Philadelphia Flyers,-61.5,right
2015020007,Tampa Bay Lightning,65.0,left
2015020008,Edmonton Oilers,-72.5,right
2015020008,St. Louis Blues,63.0,left
2015020009,Carolina Hurricanes,-60.0,right
2015020009,Nashville Predators,63.0,left
2015020010,Dallas Stars,-66.0,right
2015020010,Pittsburgh Penguins,58.0,left
2015020011,Colorado Avalanche,-72.0,right
2015020011,Minnesota Wild,63.0,left
2015020012,New Jersey Devils,60.0,left
2015020012,Winnipeg Jets,-57.0,right
2015020013,Columbus Blue Jackets,-62.0,right
2015020013,New York Rangers,57.0,left
2015020014,Detroit Red Wings,-71.5,right
2015020014,Toronto Maple Leafs,75.0,left
2015020015,Chicago Blackhawks,72.75,left
2015020015,New York Islanders,-62.0,right
2015020016,Arizona Coyotes,56.5,left
2015020016,Los Angeles Kings,-55.0,right
2015020017,Buffalo Sabres,48.0,left
2015020017,Tampa Bay Lightning,-60.5,right
2015020018,Boston Bruins,47.0,left
2015020018,Montréal Canadiens,-61.0,right
2015020019,Ottawa Senators,63.0,left
2015020019,Toronto Maple Leafs,-59.0,right
2015020020,Florida Panthers,-62.0,right
2015020020,Philadelphia Flyers,66.0,left
2015020021,Columbus Blue Jackets,73.5,left
2015020021,New York Rangers,-78.0,right
2015020022,New Jersey Devils,57.0,left
2015020022,Washington Capitals,-53.0,right
2015020023,Carolina Hurricanes,-55.0,right
2015020023,Detroit Red Wings,69.0,left
2015020024,Edmonton Oilers,-74.0,right
2015020024,Nashville Predators,70.0,left
2015020025,Minnesota Wild,-58.5,right
2015020025,St. Louis Blues,49.0,left
2015020026,Chicago Blackhawks,-64.0,right
2015020026,New York Islanders,63.0,left
2015020027,Colorado Avalanche,-56.0,right
2015020027,Dallas Stars,57.0,left
2015020028,Calgary Flames,69.25,left
2015020028,Vancouver Canucks,-69.5,right
2015020029,Arizona Coyotes,67.0,left
2015020029,Pittsburgh Penguins,-65.0,right
2015020030,Anaheim Ducks,-67.0,right
2015020030,San Jose Sharks,70.0,left
2015020031,Montréal Canadiens,-68.0,right
2015020031,Ottawa Senators,67.5,left
2015020032,Boston Bruins,46.0,left
2015020032,Tampa Bay Lightning,-50.0,right
2015020033,New York Islanders,-76.0,right
2015020033,Winnipeg Jets,73.0,left
2015020034,Buffalo Sabres,57.5,left
2015020034,Columbus Blue Jackets,-65.0,right
2015020035,Florida Panthers,71.0,left
2015020035,Philadelphia Flyers,-74.5,right
2015020036,Anaheim Ducks,65.0,left
2015020036,Vancouver Canucks,-60.0,right
2015020037,Nashville Predators,-55.0,right
2015020037,New Jersey Devils,53.0,left
2015020038,New York Rangers,-69.5,right
2015020038,Winnipeg Jets,67.0,left
2015020039,Montréal Canadiens,-52.0,right
2015020039,Pittsburgh Penguins,62.0,left
2015020040,San Jose Sharks,58.0,left
2015020040,Washington Capitals,-58.0,right
2015020041,Carolina Hurricanes,-45.0,right
2015020041,Florida Panthers,57.0,left
2015020042,Detroit Red Wings,-61.0,right
2015020042,Tampa Bay Lightning,52.0,left
